job_id,job_title,category,location,experience_years,required_skills,num_skills,salary_lpa,shortlisted
59,Full Stack Engineer,Full Stack,Remote,5.5,"SQL, Python, Docker, Pandas, React",5,14.2,1
60,DevOps Engineer,DevOps,Mumbai,9.9,"MongoDB, Python, Express, Node.js, React, Django, Pandas",7,23.27,1
61,Full Stack Engineer,Full Stack,Bengaluru,7.1,"Express, SQL, React, Docker, Python",5,21.12,1
62,Data Science Engineer,Data Science,Pune,11.1,"Express, Docker",2,21.69,1
63,Data Science Engineer,Data Science,Hyderabad,8.9,"AWS, SQL, TensorFlow",3,19.44,0
64,Frontend Development Engineer,Frontend Development,Ahmedabad,5.4,"Django, AWS, Pandas, Express",4,17.39,1
65,Full Stack Engineer,Full Stack,Bengaluru,2.6,"MongoDB, Django",2,10.09,0
66,Frontend Development Engineer,Frontend Development,Bengaluru,2.5,"Docker, Pandas, Node.js, MongoDB",4,12.72,0
67,Full Stack Engineer,Full Stack,Hyderabad,2.2,"MongoDB, Docker, TensorFlow, Express, Python, Node.js",6,12.37,1
68,Data Science Engineer,Data Science,,2.7,"AWS, Docker, Django, Pandas",4,15.98,1
69,Full Stack Engineer,Full Stack,Remote,11.3,"TensorFlow, Node.js, SQL, React, Java, Python, Express",7,27.04,1
70,Data Science Engineer,Data Science,Mumbai,9.8,"Express, Java, MongoDB, Python, SQL",5,25.16,1
71,Frontend Development Engineer,Frontend Development,Bengaluru,11.4,"Node.js, MongoDB, Pandas, Express, Django, AWS, SQL",7,26.85,1
72,Data Science Engineer,Data Science,Remote,1.7,"SQL, TensorFlow, Python, Java",4,11.67,0
73,DevOps Engineer,DevOps,Ahmedabad,7.8,"Express, TensorFlow, Django",3,17.83,1
74,DevOps Engineer,DevOps,Ahmedabad,10.1,"Pandas, Docker, Express, Node.js, MongoDB, TensorFlow",6,21.24,1
75,Full Stack Engineer,Full Stack,Pune,8.6,"AWS, Node.js, React, Docker",4,19.42,1
76,Frontend Development Engineer,Frontend Development,Hyderabad,7.2,"Docker, React, Node.js",3,15.36,0
77,Backend Development Engineer,Backend Development,Hyderabad,9.6,"AWS, TensorFlow, Pandas, Python, Docker",5,21.81,1
78,Full Stack Engineer,Full Stack,Pune,6.5,"React, Node.js, Java, Django",4,18.78,1
79,DevOps Engineer,DevOps,Bengaluru,8.8,"Python, Java, MongoDB, Express",4,19.13,1
80,Full Stack Engineer,Full Stack,Ahmedabad,1.4,"Java, Docker, Django",3,11.82,0
81,Backend Development Engineer,Backend Development,Mumbai,10.5,"Node.js, Python, Java",3,23.68,0
82,DevOps Engineer,DevOps,Pune,0.5,"React, SQL, Django, Python, MongoDB",5,7.86,0
83,Backend Development Engineer,Backend Development,Ahmedabad,3.6,"Node.js, Django, React, Docker, TensorFlow, AWS, Pandas",7,15.96,0
84,Frontend Development Engineer,Frontend Development,Hyderabad,10.8,"Docker, Django, Python",3,21.05,0
85,Data Science Engineer,Data Science,Ahmedabad,2.2,"Node.js, Express, Django, React",4,13.62,0
86,Backend Development Engineer,Backend Development,Pune,8.4,"Pandas, AWS, Java, Django",4,19.25,0
87,Frontend Development Engineer,Frontend Development,Pune,11.5,"Python, Java, SQL, Node.js, Django",5,22.9,1
88,DevOps Engineer,DevOps,Hyderabad,2.6,"Node.js, AWS, Express, React, Pandas, SQL",6,15.44,0
89,Data Science Engineer,Data Science,Pune,10.5,"SQL, Docker, Java, Pandas",4,24.19,1
90,Backend Development Engineer,Backend Development,Ahmedabad,1.5,"Python, TensorFlow, React, Express",4,10.84,0
91,Data Science Engineer,Data Science,Remote,1.4,"Docker, MongoDB, Pandas",3,12.93,0
92,DevOps Engineer,DevOps,Hyderabad,9.5,"React, TensorFlow, Pandas, MongoDB, Docker",5,25.38,0
93,Full Stack Engineer,Full Stack,Remote,9.1,"TensorFlow, Java, Node.js, MongoDB, AWS, Pandas",6,19.56,1
94,DevOps Engineer,DevOps,Ahmedabad,8.3,"Java, Express, MongoDB, TensorFlow, Pandas",5,18.95,1
95,Data Science Engineer,Data Science,,5.3,"Pandas, TensorFlow, Express, Node.js",4,18.25,1
96,Data Science Engineer,Data Science,Remote,10.4,"Java, SQL, AWS, Python, Express, MongoDB",6,24.79,1
97,Data Science Engineer,Data Science,Pune,7.3,"TensorFlow, React, Django, Python, MongoDB",5,23.43,1
98,Backend Development Engineer,Backend Development,Remote,5.8,"Django, MongoDB, TensorFlow, Node.js, Pandas, Java, React",7,20.94,1
99,Full Stack Engineer,Full Stack,Hyderabad,4.2,"Node.js, React, AWS",3,15.54,1
100,Backend Development Engineer,Backend Development,Mumbai,2.0,"MongoDB, AWS",2,11.18,0
101,Frontend Development Engineer,Frontend Development,Mumbai,10.7,"TensorFlow, Docker, Express, MongoDB, Django",5,24.51,1
102,Data Science Engineer,Data Science,Hyderabad,10.5,"Python, SQL, Django",3,21.88,1
103,Data Science Engineer,Data Science,Hyderabad,5.9,"Java, MongoDB, Django, Express, Node.js",5,17.95,1
104,Full Stack Engineer,Full Stack,Remote,8.8,"SQL, Docker, MongoDB, Pandas, AWS, Java, Express",7,19.29,1
105,Frontend Development Engineer,Frontend Development,Hyderabad,3.4,"Express, SQL, Node.js, AWS, Docker, Python",6,13.31,0
106,DevOps Engineer,DevOps,Remote,5.2,"AWS, Docker, MongoDB, React, Python, SQL, Django",7,18.77,0
107,Data Science Engineer,Data Science,Bengaluru,9.3,"Express, Python, Node.js, Java, MongoDB",5,26.37,1
108,Full Stack Engineer,Full Stack,Mumbai,8.5,"Django, Pandas, React, TensorFlow, SQL, Python, Docker",7,20.96,1
109,Backend Development Engineer,Backend Development,Bengaluru,11.8,"Django, Docker",2,22.26,1
110,Backend Development Engineer,Backend Development,Mumbai,4.8,"SQL, Node.js, Pandas",3,16.1,0
111,Backend Development Engineer,Backend Development,Hyderabad,8.8,"AWS, Node.js, React",3,19.49,0
112,Backend Development Engineer,Backend Development,Mumbai,7.4,"MongoDB, Django",2,19.87,0
113,Backend Development Engineer,Backend Development,Bengaluru,4.2,"Java, React, Node.js",3,14.11,0
114,Full Stack Engineer,Full Stack,Bengaluru,8.0,"AWS, SQL, Docker, Node.js, Python, TensorFlow, MongoDB",7,22.36,1
115,Backend Development Engineer,Backend Development,Pune,4.8,"SQL, Pandas, MongoDB, Django, Node.js, Java",6,16.32,0
116,Backend Development Engineer,Backend Development,Ahmedabad,5.6,"React, Pandas, Python, Express",4,18.05,0
117,Full Stack Engineer,Full Stack,Pune,5.7,"Docker, AWS, Python, TensorFlow",4,14.68,1
118,DevOps Engineer,DevOps,Remote,4.2,"SQL, Express, Python",3,14.8,1
119,Full Stack Engineer,Full Stack,Pune,2.2,"React, Django, MongoDB, SQL, AWS, Java",6,16.58,1
120,Backend Development Engineer,Backend Development,Pune,2.5,"Node.js, MongoDB, SQL",3,12.1,0
121,Data Science Engineer,Data Science,Ahmedabad,1.1,"TensorFlow, SQL, Express, Node.js, React",5,14.27,1
122,Frontend Development Engineer,Frontend Development,Bengaluru,2.8,"TensorFlow, Python, Node.js, SQL, Docker, AWS, MongoDB",7,13.29,1
123,DevOps Engineer,DevOps,Remote,1.0,"Django, Docker, MongoDB, SQL, Pandas, AWS",6,12.05,0
124,Backend Development Engineer,Backend Development,Hyderabad,8.2,"Express, Docker, Python, MongoDB, TensorFlow",5,16.73,0
125,Full Stack Engineer,Full Stack,Mumbai,1.1,"SQL, Django, React, MongoDB, TensorFlow, Python",6,10.53,0
126,DevOps Engineer,DevOps,Hyderabad,8.8,"Docker, React, Pandas, AWS, Java",5,,0
127,Data Science Engineer,Data Science,Pune,1.1,"AWS, MongoDB, Docker, Pandas",4,12.58,1
128,Full Stack Engineer,Full Stack,Pune,10.2,"Docker, Express, Node.js",3,20.96,1
129,Data Science Engineer,Data Science,Hyderabad,3.9,"Express, Python, MongoDB, Pandas",4,15.63,1
130,DevOps Engineer,DevOps,Ahmedabad,3.8,"Pandas, Docker, React, Python",4,15.3,0
131,Full Stack Engineer,Full Stack,Hyderabad,3.7,"TensorFlow, Express, MongoDB, Python, AWS, React, Pandas",7,14.99,0
132,Backend Development Engineer,Backend Development,Remote,0.7,"SQL, Django",2,6.41,0
133,Full Stack Engineer,Full Stack,Mumbai,7.9,"Python, Docker, Express, TensorFlow, React, AWS, SQL",7,21.38,1
134,DevOps Engineer,DevOps,Bengaluru,0.1,"TensorFlow, Python, React",3,10.73,0
135,DevOps Engineer,DevOps,Hyderabad,11.7,"Django, TensorFlow, SQL",3,25.51,0
136,Frontend Development Engineer,Frontend Development,Ahmedabad,4.5,"Node.js, React, Django, Docker, Java",5,14.34,0
137,Full Stack Engineer,Full Stack,Ahmedabad,9.4,"MongoDB, AWS, Express, Node.js, Java",5,22.41,1
138,Data Science Engineer,Data Science,Hyderabad,5.3,"SQL, Django, Node.js, Java, Docker, AWS",6,18.64,1
139,Full Stack Engineer,Full Stack,Remote,9.3,"Python, Node.js, Docker, TensorFlow",4,21.45,1
140,Data Science Engineer,Data Science,Hyderabad,11.7,"MongoDB, Express, Java",3,24.24,1
141,Frontend Development Engineer,Frontend Development,Remote,11.8,"Java, Pandas, React, Node.js, SQL, Express, Docker",7,22.47,1
142,Full Stack Engineer,Full Stack,Hyderabad,2.9,"SQL, Pandas, Express, Node.js, AWS, Django",6,11.81,1
143,Full Stack Engineer,Full Stack,Remote,0.6,"TensorFlow, React, Python, AWS, Django, Pandas, MongoDB",7,10.29,1
144,Frontend Development Engineer,Frontend Development,Remote,1.8,"Node.js, Django, Express, AWS, Pandas",5,12.27,0
145,Backend Development Engineer,Backend Development,Ahmedabad,6.7,"TensorFlow, Docker",2,17.59,1
146,Frontend Development Engineer,Frontend Development,Bengaluru,8.3,"MongoDB, React, Java, Python, AWS, Pandas",6,19.01,1
147,Frontend Development Engineer,Frontend Development,Hyderabad,9.1,"Docker, Python, Java, Django, SQL, Express, AWS",7,18.5,0
148,DevOps Engineer,DevOps,Ahmedabad,0.3,"Docker, SQL, React, Django, MongoDB, AWS, TensorFlow",7,13.5,1
149,Full Stack Engineer,Full Stack,Mumbai,0.6,"Express, TensorFlow, Java",3,10.31,0
150,Frontend Development Engineer,Frontend Development,Pune,5.3,"TensorFlow, MongoDB, SQL, React, Express",5,13.53,1
151,Data Science Engineer,Data Science,Hyderabad,5.1,"React, Express, AWS, Java, TensorFlow",5,18.4,1
152,DevOps Engineer,DevOps,Bengaluru,8.4,"TensorFlow, Pandas, Node.js, Python",4,21.56,0
153,Full Stack Engineer,Full Stack,Remote,1.6,"MongoDB, Express, SQL, AWS, Docker",5,12.17,0
154,Data Science Engineer,Data Science,Hyderabad,11.5,"Java, Python, MongoDB, Docker, Django, Node.js, Express",7,26.03,1
155,Data Science Engineer,Data Science,Hyderabad,5.9,"TensorFlow, SQL, Pandas, React",4,18.8,1
156,DevOps Engineer,DevOps,Pune,0.6,"Pandas, SQL, Node.js, Python, Java",5,10.9,0
157,Data Science Engineer,Data Science,Hyderabad,2.2,"Java, React",2,14.18,0
158,Data Science Engineer,Data Science,,6.5,"TensorFlow, React, Node.js, Pandas, AWS, Java, Docker",7,21.18,1
159,Full Stack Engineer,Full Stack,Ahmedabad,4.3,"Docker, Express, Java, AWS",4,13.23,1
160,Frontend Development Engineer,Frontend Development,Pune,11.4,"MongoDB, Pandas, Express",3,22.47,0
161,Data Science Engineer,Data Science,Bengaluru,4.8,"Pandas, AWS, Docker, Python",4,17.99,1
162,Backend Development Engineer,Backend Development,Remote,1.9,"Node.js, Python, TensorFlow, Java, Docker",5,10.65,0
163,DevOps Engineer,DevOps,Bengaluru,8.8,"Pandas, Express, Java, Django",4,21.44,1
164,DevOps Engineer,DevOps,Bengaluru,8.7,"Java, Django, Docker",3,19.76,1
165,DevOps Engineer,DevOps,Remote,11.7,"MongoDB, Java, Pandas, Python, TensorFlow",5,22.03,1
166,Backend Development Engineer,Backend Development,Pune,9.8,"Node.js, Pandas, Express, React, Docker",5,24.16,1
167,Data Science Engineer,Data Science,Mumbai,5.2,"Pandas, Express, TensorFlow, AWS, SQL, Django, Docker",7,17.96,1
168,Frontend Development Engineer,Frontend Development,Bengaluru,8.3,"Pandas, AWS",2,18.54,1
169,Backend Development Engineer,Backend Development,Pune,7.8,"React, MongoDB, Express, Python, Node.js, AWS, SQL",7,19.14,1
170,Backend Development Engineer,Backend Development,Mumbai,11.6,"TensorFlow, Pandas, SQL, MongoDB, Node.js, Python, Java",7,23.48,1
171,Data Science Engineer,Data Science,Remote,3.4,"React, Django, AWS, Express, Pandas",5,16.62,0
172,Frontend Development Engineer,Frontend Development,Ahmedabad,2.7,"Java, SQL, React, AWS, Pandas, MongoDB, Python",7,11.55,1
173,Full Stack Engineer,Full Stack,Ahmedabad,7.0,"Java, SQL, Python, Pandas, React, Express, Node.js",7,,1
174,Frontend Development Engineer,Frontend Development,Ahmedabad,10.0,"MongoDB, AWS",2,21.63,1
175,DevOps Engineer,DevOps,Bengaluru,7.7,"MongoDB, Python, Pandas, Express, TensorFlow",5,,0
176,Data Science Engineer,Data Science,Bengaluru,0.0,"Docker, Express, Pandas, MongoDB, Python, Django",6,10.56,1
177,DevOps Engineer,DevOps,Ahmedabad,5.7,"Java, MongoDB",2,16.93,1
178,Frontend Development Engineer,Frontend Development,Bengaluru,0.5,"Django, Pandas",2,7.35,0
179,DevOps Engineer,DevOps,Remote,4.7,"Java, Pandas, Django, SQL, Python",5,15.39,0
180,DevOps Engineer,DevOps,Remote,10.0,"MongoDB, React",2,23.18,0
181,Full Stack Engineer,Full Stack,Mumbai,1.0,"Java, Python",2,10.28,0
182,DevOps Engineer,DevOps,Ahmedabad,10.8,"AWS, Pandas, Docker, MongoDB, Java, Node.js, SQL",7,26.04,1
183,Data Science Engineer,Data Science,Bengaluru,2.6,"Docker, Python",2,14.68,0
184,Full Stack Engineer,Full Stack,Hyderabad,2.7,"SQL, Node.js, MongoDB, AWS",4,12.23,0
185,Full Stack Engineer,Full Stack,Bengaluru,0.5,"TensorFlow, Java",2,10.4,1
186,Backend Development Engineer,Backend Development,Remote,10.1,"Pandas, Express, AWS, Java, React",5,21.96,1
187,Frontend Development Engineer,Frontend Development,Remote,4.7,"Java, TensorFlow, Node.js",3,14.36,0
188,Full Stack Engineer,Full Stack,Ahmedabad,11.9,"Django, React",2,26.13,1
189,Frontend Development Engineer,Frontend Development,Remote,10.1,"Docker, Express, Java, Pandas",4,22.17,0
190,DevOps Engineer,DevOps,,5.3,"TensorFlow, MongoDB, SQL",3,15.05,0
191,DevOps Engineer,DevOps,Pune,5.7,"TensorFlow, Pandas, Python, Express, Node.js",5,16.39,0
192,Full Stack Engineer,Full Stack,Hyderabad,5.6,"TensorFlow, AWS, Pandas",3,20.86,0
193,Frontend Development Engineer,Frontend Development,Remote,6.1,"TensorFlow, AWS",2,14.57,1
194,Data Science Engineer,Data Science,Mumbai,0.7,"Django, Node.js, Express, MongoDB, Pandas, SQL",6,13.39,0
195,Backend Development Engineer,Backend Development,Pune,5.7,"AWS, Python, Pandas, Node.js, MongoDB, Express",6,18.24,1
196,Frontend Development Engineer,Frontend Development,Pune,8.9,"SQL, Django",2,17.22,0
197,Data Science Engineer,Data Science,Ahmedabad,8.7,"Express, Pandas, Django, Python, MongoDB, Java, Docker",7,22.04,1
198,Backend Development Engineer,Backend Development,Mumbai,9.5,"Python, MongoDB, SQL, React, AWS, Node.js, Express",7,,1
199,DevOps Engineer,DevOps,Bengaluru,7.0,"SQL, Node.js",2,18.92,0
200,Backend Development Engineer,Backend Development,Mumbai,7.0,"Python, Express, React, Pandas, MongoDB, TensorFlow, SQL",7,17.17,1
201,Backend Development Engineer,Backend Development,Bengaluru,4.8,"Express, MongoDB, AWS, SQL, Node.js, Python, React",7,15.1,1
202,Data Science Engineer,Data Science,Pune,0.8,"Django, AWS, Pandas",3,12.33,0
203,Full Stack Engineer,Full Stack,Hyderabad,6.9,"Express, Pandas, Django",3,18.78,1
204,Data Science Engineer,Data Science,Mumbai,8.4,"Django, Express, SQL",3,20.84,0
205,Frontend Development Engineer,Frontend Development,Remote,7.7,"AWS, Express, Docker",3,17.54,0
206,Full Stack Engineer,Full Stack,Hyderabad,10.2,"Django, Java",2,22.57,1
207,Full Stack Engineer,Full Stack,Ahmedabad,8.9,"Django, Pandas, React, AWS, Docker",5,18.45,1
208,DevOps Engineer,DevOps,Mumbai,8.3,"Java, AWS, Pandas, React, Express, Node.js",6,24.81,1
209,DevOps Engineer,DevOps,Pune,5.6,"MongoDB, React, Django, Docker, Express",5,16.14,0
210,Data Science Engineer,Data Science,Remote,1.4,"SQL, Docker, React, TensorFlow, AWS, Node.js, Django",7,15.16,1
211,Frontend Development Engineer,Frontend Development,Bengaluru,0.3,"Django, Docker, AWS, Node.js",4,8.22,0
212,DevOps Engineer,DevOps,Remote,9.0,"SQL, Express, React, Django, Docker",5,20.69,1
213,Backend Development Engineer,Backend Development,Pune,2.3,"Python, Django, SQL",3,9.97,0
214,Full Stack Engineer,Full Stack,Mumbai,4.0,"SQL, React, Pandas, Node.js, MongoDB, TensorFlow, Python",7,12.97,1
215,Backend Development Engineer,Backend Development,Ahmedabad,2.9,"Python, React, Node.js, Java, Django, Pandas",6,16.6,0
216,DevOps Engineer,DevOps,Remote,5.8,"TensorFlow, MongoDB, AWS, Express, SQL, Node.js",6,15.54,1
217,Data Science Engineer,Data Science,Bengaluru,11.0,"Pandas, Docker, Python, Express, MongoDB, React, TensorFlow",7,26.14,1
218,Backend Development Engineer,Backend Development,Ahmedabad,11.6,"SQL, MongoDB, Django, Java, Docker, Express",6,24.01,1
219,Backend Development Engineer,Backend Development,Bengaluru,9.4,"Pandas, Docker, Python, SQL, React",5,22.55,1
220,DevOps Engineer,DevOps,Remote,1.4,"Express, Node.js",2,10.49,0
221,Backend Development Engineer,Backend Development,Remote,4.3,"React, AWS, TensorFlow",3,13.81,0
222,Frontend Development Engineer,Frontend Development,Pune,9.0,"React, TensorFlow, Express, Node.js, Pandas, Java",6,17.2,1
223,Full Stack Engineer,Full Stack,Hyderabad,9.1,"Python, SQL, TensorFlow, React",4,21.54,1
224,Data Science Engineer,Data Science,Remote,3.5,"Django, Pandas, TensorFlow, AWS, SQL, Docker, Python",7,17.91,1
225,Backend Development Engineer,Backend Development,Mumbai,9.9,"AWS, Docker, Django",3,24.7,1
226,Full Stack Engineer,Full Stack,,6.3,"Python, Django, React, Node.js, Docker, MongoDB",6,19.75,1
227,Full Stack Engineer,Full Stack,Mumbai,8.9,"Node.js, Express, SQL, Docker, TensorFlow, Java",6,19.4,1
228,DevOps Engineer,DevOps,Bengaluru,6.5,"MongoDB, Node.js",2,17.96,0
229,Data Science Engineer,Data Science,Pune,1.6,"MongoDB, Pandas, Django, TensorFlow, Java, AWS",6,13.07,1
230,Backend Development Engineer,Backend Development,Bengaluru,8.7,"AWS, React, Pandas, SQL, Node.js, TensorFlow, Docker",7,22.7,1
231,DevOps Engineer,DevOps,Pune,11.4,"MongoDB, SQL",2,23.53,1
232,Full Stack Engineer,Full Stack,Mumbai,6.7,"Node.js, Django, Pandas, Docker, TensorFlow, MongoDB",6,19.24,1
233,Data Science Engineer,Data Science,Pune,1.9,"Express, AWS, Docker, Node.js, MongoDB",5,11.45,1
234,Full Stack Engineer,Full Stack,Mumbai,2.2,"React, TensorFlow, Django, Node.js, Pandas",5,11.27,0
235,Backend Development Engineer,Backend Development,Mumbai,5.2,"Java, Express, React, AWS",4,16.37,0
236,DevOps Engineer,DevOps,Mumbai,1.2,"React, Node.js, Java, Pandas, MongoDB, SQL",6,12.54,0
237,Data Science Engineer,Data Science,Pune,8.9,"MongoDB, Docker, TensorFlow",3,20.39,1
238,Backend Development Engineer,Backend Development,Pune,8.3,"Express, Django, AWS",3,17.04,1
239,Backend Development Engineer,Backend Development,Hyderabad,8.4,"Pandas, Django, MongoDB, Node.js, React, Java, SQL",7,20.4,1
240,Full Stack Engineer,Full Stack,Remote,8.4,"MongoDB, Django",2,20.36,1
241,Data Science Engineer,Data Science,Ahmedabad,6.0,"Java, Docker, Pandas, TensorFlow",4,14.17,1
242,Frontend Development Engineer,Frontend Development,Remote,7.1,"SQL, AWS",2,14.98,0
243,Backend Development Engineer,Backend Development,Pune,0.8,"TensorFlow, Express, Node.js, MongoDB, Pandas, SQL",6,7.7,0
244,Frontend Development Engineer,Frontend Development,Bengaluru,7.4,"Express, Node.js",2,17.7,0
245,Data Science Engineer,Data Science,Remote,10.7,"Python, Docker",2,21.98,1
246,Full Stack Engineer,Full Stack,Pune,5.0,"Java, Python, TensorFlow, Django, React, MongoDB, Pandas",7,19.42,1
247,Data Science Engineer,Data Science,Remote,11.1,"TensorFlow, Docker, Node.js, SQL, Express, React",6,24.32,1
248,Full Stack Engineer,Full Stack,Bengaluru,5.3,"Java, React, Django",3,16.65,1
249,Data Science Engineer,Data Science,Remote,3.8,"Node.js, TensorFlow, Java, Django, MongoDB, Python",6,16.97,1
250,Data Science Engineer,Data Science,Hyderabad,0.2,"AWS, React",2,10.62,0
251,Data Science Engineer,Data Science,Mumbai,5.0,"SQL, MongoDB, Express",3,15.4,0
252,Full Stack Engineer,Full Stack,Pune,6.9,"Node.js, TensorFlow, SQL, MongoDB",4,21.42,1
253,DevOps Engineer,DevOps,Hyderabad,6.4,"Node.js, React, AWS, Express, SQL, Docker",6,14.69,1
254,Data Science Engineer,Data Science,Bengaluru,7.3,"TensorFlow, SQL, Java, Pandas",4,21.69,1
